Designator,Mid X,Mid Y,Rotation,Layer
D1,67.3425,-66.475,270.0,top
D11,61.1,-99.94,270.0,bottom
D12,80.15,-100.06,270.0,bottom
D13,99.3,-99.94,270.0,bottom
D14,61.1,-80.91,270.0,bottom
D15,80.2,-82.16,270.0,bottom
D16,99.3,-80.91,270.0,bottom
D2,93.25,-66.4625,270.0,top
D3,107.5875,-90.57,180.0,top
D4,88.4375,-90.5425,180.0,top
D5,69.2875,-90.5675,180.0,top
D6,69.4,-109.755,0.0,top
D7,88.5,-109.755,0.0,top
D8,107.6,-109.755,0.0,top
J1,62.0,-66.472,180.0,top
RE1,107.5,-66.55,0.0,top
SW1,69.375,-102.56,0.0,top
SW2,88.5,-102.56,0.0,top
SW3,107.65,-102.56,0.0,top
SW4,69.4,-83.51,0.0,top
SW5,88.5,-83.51,0.0,top
SW6,107.65,-83.51,0.0,top
U1,80.325,-66.62625,0.0,bottom
